Entity,Wrapped_Blurb
The 5 Gyres Institute,You supported 5 Gyres research showing a single laundromat can emit trillions of airborne microfibers each year and helped launch the Microplastic-Free US policy campaign.
Alaska Wilderness League,"You helped protect more than 70 million acres of Alaska’s public lands and waters, including continued defense of the Arctic National Wildlife Refuge."
Billion Oyster Project,"You turned 285,000+ pounds of recycled oyster shell from 85+ NYC restaurants into the foundation for new oyster reefs across New York Harbor."
Broadway Green Alliance,"You helped divert 3,800+ pounds of theater textiles from landfills and supported 1,700+ Green Captains bringing sustainability backstage."
Climate Mental Health Network,You helped expand climate mental health education and tools that support resilience in a changing world.
Climate Reality Project,You supported the training and mobilization of climate advocates working locally to influence climate policy and clean energy adoption.
Coalition for Rainforest Nations,You backed rainforest nations advancing international policy and finance frameworks designed to keep forests standing at national scale.
CORAL (Coral Reef Alliance),You supported the launch of CORAL’s Eastern Caribbean Hub to expand locally led coral reef protection across vulnerable island nations.
Eden: People+Planet,You helped fund community-led restoration projects that rebuild ecosystems while supporting local livelihoods.
Environmental Defense Fund,You supported science-driven climate policy solutions aimed at cutting pollution and shifting entire systems.
GreenWave,"You helped scale regenerative ocean farming, including producing nearly 60,000 feet of kelp seed and processing 40,000 pounds of kelp for new markets."
The Honnold Foundation,You supported community-led climate solutions expanding clean energy access and local resilience.
The Humane League,"You helped push animal agriculture toward a cage-free future, contributing to 45 percent of US hens now living free from cages."
Indigenous Environmental Network,"You supported Indigenous-led organizing that defends land, water, and sovereignty on the frontlines of climate justice."
Mad Agriculture,"You helped fund regenerative farming across 150,000 acres and launch a 1,000-acre prairie restoration pilot in Wisconsin’s Driftless region."
National Forest Foundation,"You powered a $63.2 million impact including planting 1M+ trees, improving wildfire resilience on 35,507 acres, and restoring 1,918 miles of trails."
Natural Resources Defense Council,"You supported legal and policy work holding polluters accountable and defending climate, clean air, and clean water protections."
Northeast Wilderness Trust,"You helped permanently protect 103,000 acres of forever-wild land, safeguarding rivers, wetlands, and habitat for 100+ rare species."
The Ocean Cleanup,"You supported efforts that removed 44,000 tons of trash using 22 Interceptors and launched the 30 Cities program to stop plastic in rivers."
One Earth Conservation,You helped protect 146 endangered macaw nests and rescue 16 parrots through Indigenous-led conservation in Central America.
One Tree Planted,"You supported forest restoration projects worldwide, including reforestation, wildfire recovery, and agroforestry initiatives."
Rozalia Project,"You helped protect oceans and waterways through hands-on cleanup, research, and education."
Soapbox Project,You supported community-based climate action programs that turn learning into everyday behavior change.
Stand.earth,"You backed corporate accountability campaigns, including Lululemon’s commitment to power 50 percent of its core suppliers with renewable electricity and phase out coal, while pushing tech companies to address the climate impact of AI data centers."
Surfrider Foundation,"You helped mobilize 50,000 volunteers to remove 114,000+ pounds of trash through 800+ coastal cleanups nationwide."
Surfrider Foundation NYC,"You supported local beach cleanups, water protection, and coastal advocacy along New York City’s shoreline."
Women’s Earth and Climate Action Network (WECAN),"You supported women- and Indigenous-led climate justice work, including forest protection with 1,000+ women safeguarding 1.6 million acres of rainforest in the Democratic Republic of Congo."
Yosemite Conservancy,"You helped fund restoration, conservation science, and stewardship projects protecting Yosemite’s ecosystems."
Foodie Fund,"You supported regenerative farming, ocean-based food systems, and more humane agriculture from land to sea."
Climate Fund,"You backed large-scale climate solutions that move policy, energy systems, and corporate accountability."
CLIMA Fund,"You backed large-scale climate solutions that move policy, energy systems, and corporate accountability."
Cleanup Fund,You supported efforts stopping plastic pollution and protecting oceans and coastlines worldwide.
